Bait gene/protein	Hit gene/protein	Bait Standard Name	Hit Standard Name	Experimental System	Source	PubMed ID
YLR229C	YDR309C	CDC42	GIC2	Synthetic Lethality	Kozminski KG et al	12960420
YLR229C	YGL168W	CDC42	HUR1	Synthetic Lethality	Kozminski KG et al	12960420
YLR229C	YAL024C	CDC42	LTE1	Synthetic Lethality	Kozminski KG et al	12960420
YLR229C	YOR188W	CDC42	MSB1	Synthetic Lethality	Kozminski KG et al	12960420
YLR229C	YNL293W	CDC42	MSB3	Synthetic Lethality	Kozminski KG et al	12960420
YLR229C	YER149C	CDC42	PEA2	Synthetic Lethality	Kozminski KG et al	12960420
YLR229C	YGL167C	CDC42	PMR1	Synthetic Lethality	Kozminski KG et al	12960420
YLR229C	YGR152C	CDC42	RSR1	Synthetic Lethality	Kozminski KG et al	12960420
YLR229C	YBR171W	CDC42	SEC66	Synthetic Lethality	Kozminski KG et al	12960420
YLR229C	YLL021W	CDC42	SPA2	Synthetic Lethality	Kozminski KG et al	12960420
YLR229C	YDR293C	CDC42	SSD1	Synthetic Lethality	Kozminski KG et al	12960420
YLR229C	YDR310C	CDC42	SUM1	Synthetic Lethality	Kozminski KG et al	12960420
YLR229C	YDR126W	CDC42	SWF1	Synthetic Lethality	Kozminski KG et al	12960420
YLR229C	YER111C	CDC42	SWI4	Synthetic Lethality	Kozminski KG et al	12960420
YLR229C	YHR111W	CDC42	UBA4	Synthetic Lethality	Kozminski KG et al	12960420
YLR229C	YBR077C	CDC42	SLM4	Synthetic Lethality	Kozminski KG et al	12960420
YLR229C	YCR077C	CDC42	PAT1	Synthetic Lethality	Kozminski KG et al	12960420
YLR229C	YGL211W	CDC42	NCS6	Synthetic Lethality	Kozminski KG et al	12960420
YLR229C	YGR151C	CDC42	YGR151C	Synthetic Lethality	Kozminski KG et al	12960420
YLR418C	YBR231C	CDC73	SWC5	Synthetic Lethality	Krogan NJ et al	14690608
YBR231C	YLR418C	SWC5	CDC73	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YBR231C	CDC73	SWC5	Synthetic Lethality	Krogan NJ et al	15353583
YBR231C	YLR418C	SWC5	CDC73	Synthetic Lethality	Krogan NJ et al	15353583
YLR418C	YIL040W	CDC73	APQ12	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YLR085C	CDC73	ARP6	Synthetic Lethality	Krogan NJ et al	14690608
YLR085C	YLR418C	ARP6	CDC73	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YLR085C	CDC73	ARP6	Synthetic Lethality	Krogan NJ et al	15353583
YLR085C	YLR418C	ARP6	CDC73	Synthetic Lethality	Krogan NJ et al	15353583
YLR418C	YPL069C	CDC73	BTS1	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YGL174W	CDC73	BUD13	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YMR275C	CDC73	BUL1	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YEL061C	CDC73	CIN8	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YPL181W	CDC73	CTI6	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YKL139W	CDC73	CTK1	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YAL013W	CDC73	DEP1	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YOR030W	CDC73	DFG16	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YOR080W	CDC73	DIA2	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YKL213C	CDC73	DOA1	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YDR440W	CDC73	DOT1	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YGL043W	CDC73	DST1	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YBR076W	CDC73	ECM8	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YKL160W	CDC73	ELF1	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YNL199C	CDC73	GCR2	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YER122C	CDC73	GLO3	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YHL031C	CDC73	GOS1	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YOR038C	CDC73	HIR2	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YJR140C	CDC73	HIR3	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YBR215W	CDC73	HPC2	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YOL012C	CDC73	HTZ1	Synthetic Lethality	Krogan NJ et al	14690608
YOL012C	YLR418C	HTZ1	CDC73	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YOL012C	CDC73	HTZ1	Synthetic Lethality	Krogan NJ et al	15353583
YOL012C	YLR418C	HTZ1	CDC73	Synthetic Lethality	Krogan NJ et al	15353583
YLR418C	YFL013C	CDC73	IES1	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YIR005W	CDC73	IST3	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YGL173C	CDC73	KEM1	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YOR123C	CDC73	LEO1	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YLR239C	CDC73	LIP2	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YJL124C	CDC73	LSM1	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YDR378C	CDC73	LSM6	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YKL176C	CDC73	LST4	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YMR038C	CDC73	CCS1	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YOL027C	CDC73	MDM38	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YPR070W	CDC73	MED1	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YIL128W	CDC73	MET18	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YDR245W	CDC73	MNN10	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YMR158W	CDC73	MRPS8	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YDR335W	CDC73	MSN5	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YGR257C	CDC73	MTM1	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YDL002C	CDC73	NHP10	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YLR315W	CDC73	NKP2	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YAR002W	CDC73	NUP60	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YLR350W	CDC73	ORM2	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YER178W	CDC73	PDA1	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YBR221C	CDC73	PDB1	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YOR360C	CDC73	PDE2	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YLR067C	CDC73	PET309	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YNL097C	CDC73	PHO23	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YLR204W	CDC73	QRI5	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YML032C	CDC73	RAD52	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YMR274C	CDC73	RCE1	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YDR137W	CDC73	RGP1	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YNL294C	CDC73	RIM21	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YOR001W	CDC73	RRP6	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YGL244W	CDC73	RTF1	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YDR289C	CDC73	RTT103	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YLL002W	CDC73	RTT109	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YOR216C	CDC73	RUD3	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YBR095C	CDC73	RXT2	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YMR263W	CDC73	SAP30	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YLR268W	CDC73	SEC22	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YIL076W	CDC73	SEC28	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YDR363W-A	CDC73	SEM1	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YJL168C	CDC73	SET2	Synthetic Lethality	Krogan NJ et al	14690608
YJL168C	YLR418C	SET2	CDC73	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YJL168C	CDC73	SET2	Synthetic Lethality	Krogan NJ et al	12773564
YJL168C	YLR418C	SET2	CDC73	Synthetic Lethality	Krogan NJ et al	12773564
YLR418C	YBR103W	CDC73	SIF2	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YOR308C	CDC73	SNU66	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YBR194W	CDC73	SOY1	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YEL031W	CDC73	SPF1	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YER161C	CDC73	SPT2	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YCL037C	CDC73	SRO9	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YPL042C	CDC73	SSN3	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YNL025C	CDC73	SSN8	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YPL057C	CDC73	SUR1	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YAL011W	CDC73	SWC3	Synthetic Lethality	Krogan NJ et al	14690608
YAL011W	YLR418C	SWC3	CDC73	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YAL011W	CDC73	SWC3	Synthetic Lethality	Krogan NJ et al	15353583
YAL011W	YLR418C	SWC3	CDC73	Synthetic Lethality	Krogan NJ et al	15353583
YLR418C	YOL130W	CDC73	ALR1	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YDR334W	CDC73	SWR1	Synthetic Lethality	Krogan NJ et al	14690608
YDR334W	YLR418C	SWR1	CDC73	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YDR334W	CDC73	SWR1	Synthetic Lethality	Krogan NJ et al	15353583
YDR334W	YLR418C	SWR1	CDC73	Synthetic Lethality	Krogan NJ et al	15353583
YLR418C	YOL072W	CDC73	THP1	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YHR167W	CDC73	THP2	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YOR297C	CDC73	TIM18	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YOR124C	CDC73	UBP2	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YFR010W	CDC73	UBP6	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YEL013W	CDC73	VAC8	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YLR373C	CDC73	VID22	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YGL227W	CDC73	VID30	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YOR089C	CDC73	VPS21	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YML041C	CDC73	VPS71	Synthetic Lethality	Krogan NJ et al	14690608
YML041C	YLR418C	VPS71	CDC73	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YML041C	CDC73	VPS71	Synthetic Lethality	Krogan NJ et al	15353583
YML041C	YLR418C	VPS71	CDC73	Synthetic Lethality	Krogan NJ et al	15353583
YLR418C	YDR485C	CDC73	VPS72	Synthetic Lethality	Krogan NJ et al	14690608
YDR485C	YLR418C	VPS72	CDC73	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YDR485C	CDC73	VPS72	Synthetic Lethality	Krogan NJ et al	15353583
YDR485C	YLR418C	VPS72	CDC73	Synthetic Lethality	Krogan NJ et al	15353583
YLR418C	YAL002W	CDC73	VPS8	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YDR369C	CDC73	XRS2	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YNL107W	CDC73	YAF9	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YCR077C	CDC73	PAT1	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YDL033C	CDC73	SLM3	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YEL033W	CDC73	YEL033W	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YER084W	CDC73	YER084W	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YER139C	CDC73	YER139C	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YKL053C-A	CDC73	MDM35	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YLR039C	CDC73	RIC1	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YLR168C	CDC73	MSF1	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YLR269C	CDC73	YLR269C	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YML012C-A	CDC73	YML013C-A	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YNL140C	CDC73	YNL140C	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YNL198C	CDC73	YNL198C	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YPL182C	CDC73	YPL182C	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YPR084W	CDC73	YPR084W	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YLR262C	CDC73	YPT6	Synthetic Lethality	Krogan NJ et al	14690608
YLR418C	YGR270W	CDC73	YTA7	Synthetic Lethality	Krogan NJ et al	14690608
YOR349W	YLR085C	CIN1	ARP6	Synthetic Lethality	Krogan NJ et al	14690608
YLR085C	YOR349W	ARP6	CIN1	Synthetic Lethality	Krogan NJ et al	14690608
YOR349W	YLR085C	CIN1	ARP6	Synthetic Lethality	Krogan NJ et al	15353583
YLR085C	YOR349W	ARP6	CIN1	Synthetic Lethality	Krogan NJ et al	15353583
YOR349W	YOL012C	CIN1	HTZ1	Synthetic Lethality	Krogan NJ et al	14690608
YOR349W	YOL130W	CIN1	ALR1	Synthetic Lethality	Krogan NJ et al	14690608
YOR349W	YDR334W	CIN1	SWR1	Synthetic Lethality	Krogan NJ et al	14690608
YDR334W	YOR349W	SWR1	CIN1	Synthetic Lethality	Krogan NJ et al	14690608
YOR349W	YDR334W	CIN1	SWR1	Synthetic Lethality	Krogan NJ et al	15353583
YDR334W	YOR349W	SWR1	CIN1	Synthetic Lethality	Krogan NJ et al	15353583
YOR349W	YNL107W	CIN1	YAF9	Synthetic Lethality	Krogan NJ et al	14690608
YOR349W	YBR231C	CIN1	SWC5	Synthetic Lethality	Krogan NJ et al	14690608
YBR231C	YOR349W	SWC5	CIN1	Synthetic Lethality	Krogan NJ et al	14690608
YOR349W	YBR231C	CIN1	SWC5	Synthetic Lethality	Krogan NJ et al	15353583
YBR231C	YOR349W	SWC5	CIN1	Synthetic Lethality	Krogan NJ et al	15353583
YOR349W	YDR485C	CIN1	VPS72	Synthetic Lethality	Krogan NJ et al	14690608
YDR485C	YOR349W	VPS72	CIN1	Synthetic Lethality	Krogan NJ et al	14690608
YOR349W	YDR485C	CIN1	VPS72	Synthetic Lethality	Krogan NJ et al	15353583
YDR485C	YOR349W	VPS72	CIN1	Synthetic Lethality	Krogan NJ et al	15353583
YOR349W	YML041C	CIN1	VPS71	Synthetic Lethality	Krogan NJ et al	14690608
YML041C	YOR349W	VPS71	CIN1	Synthetic Lethality	Krogan NJ et al	14690608
YOR349W	YML041C	CIN1	VPS71	Synthetic Lethality	Krogan NJ et al	15353583
YML041C	YOR349W	VPS71	CIN1	Synthetic Lethality	Krogan NJ et al	15353583
YPL241C	YLR085C	CIN2	ARP6	Synthetic Lethality	Krogan NJ et al	14690608
YLR085C	YPL241C	ARP6	CIN2	Synthetic Lethality	Krogan NJ et al	14690608
YPL241C	YLR085C	CIN2	ARP6	Synthetic Lethality	Krogan NJ et al	15353583
YLR085C	YPL241C	ARP6	CIN2	Synthetic Lethality	Krogan NJ et al	15353583
YPL241C	YOL012C	CIN2	HTZ1	Synthetic Lethality	Krogan NJ et al	14690608
YPL241C	YOL130W	CIN2	ALR1	Synthetic Lethality	Krogan NJ et al	14690608
YPL241C	YDR334W	CIN2	SWR1	Synthetic Lethality	Krogan NJ et al	14690608
YDR334W	YPL241C	SWR1	CIN2	Synthetic Lethality	Krogan NJ et al	14690608
