Bait gene/protein	Hit gene/protein	Bait Standard Name	Hit Standard Name	Experimental System	Source	PubMed ID
YNL025C	YBR020W	SSN8	GAL1	Dosage Lethality	Zaman Z et al	11226276
YPL042C	YOL051W	SSN3	GAL11	Dosage Lethality	Zaman Z et al	11226276
YPL042C	YPL248C	SSN3	GAL4	Dosage Lethality	Zaman Z et al	11226276
YDR054C	YEL009C	CDC34	GCN4	Dosage Lethality	Meimoun A et al	10712509
YFL009W	YEL009C	CDC4	GCN4	Dosage Lethality	Meimoun A et al	10712509
YDL132W	YEL009C	CDC53	GCN4	Dosage Lethality	Meimoun A et al	10712509
YDL145C	YJR031C	COP1	GEA1	Dosage Lethality	Spang A et al	11294905
YFL038C	YEL022W	YPT1	GEA2	Dosage Lethality	Jones S et al	10430582
YBL097W	YDR309C	BRN1	GIC2	Dosage Lethality	Jaquenoud M et al	10938101
YLR319C	YDR309C	BUD6	GIC2	Dosage Lethality	Jaquenoud M et al	10938101
YLL021W	YDR309C	SPA2	GIC2	Dosage Lethality	Jaquenoud M et al	10938101
YLR310C	YDR096W	CDC25	GIS1	Dosage Lethality	Pedruzzi I et al	10835355
YJL005W	YDR096W	CYR1	GIS1	Dosage Lethality	Pedruzzi I et al	10835355
YPL203W	YDR096W	TPK2	GIS1	Dosage Lethality	Pedruzzi I et al	10835355
YGR113W	YER133W	DAM1	GLC7	Dosage Lethality	Kang J et al	11724818
YGL061C	YER133W	DUO1	GLC7	Dosage Lethality	Kang J et al	11724818
YPL209C	YER133W	IPL1	GLC7	Dosage Lethality	Francisco L et al	8007975
YDR054C	YJR090C	CDC34	GRR1	Dosage Lethality	Patton EE et al	9499404
YDL132W	YJR090C	CDC53	GRR1	Dosage Lethality	Patton EE et al	9499404
YDR328C	YJR090C	SKP1	GRR1	Dosage Lethality	Li FN et al	9312022
YPR052C	YBR009C	NHP6A	HHF1	Dosage Lethality	Formosa T et al	12524332
YML069W	YBR009C	POB3	HHF1	Dosage Lethality	Formosa T et al	12524332
YGL207W	YBR009C	SPT16	HHF1	Dosage Lethality	Formosa T et al	12524332
YPR052C	YBR010W	NHP6A	HHT1	Dosage Lethality	Formosa T et al	12524332
YML069W	YBR010W	POB3	HHT1	Dosage Lethality	Formosa T et al	12524332
YGL207W	YBR010W	SPT16	HHT1	Dosage Lethality	Formosa T et al	12524332
YKL049C	YBR010W	CSE4	HHT1	Dosage Lethality	Glowczewski L et al	10891506
YBR136W	YML058W-A	MEC1	HUG1	Dosage Lethality	Basrai MA et al	10490641
YML032C	YJR094C	RAD52	IME1	Dosage Lethality	Mitchell AP et al	1592244
YGL240W	YPL209C	DOC1	IPL1	Dosage Lethality	Ramaswamy V et al	14645525
YPL255W	YNL188W	BBP1	KAR1	Dosage Lethality	Schramm C et al	10654940
YPL124W	YNL188W	SPC29	KAR1	Dosage Lethality	Elliott S et al	10339566
YDL125C	YDL108W	HNT1	KIN28	Dosage Lethality	Bieganowski P et al	11805111
YGL038C	YGR040W	OCH1	KSS1	Dosage Lethality	Lee BN et al	10535982
YBL023C	YEL032W	MCM2	MCM3	Dosage Lethality	Yan H et al	2044961
YER073W	YDL078C	ALD5	MDH3	Dosage Lethality	Kurita O	14570268
YDR054C	YIL046W	CDC34	MET30	Dosage Lethality	Patton EE et al	9499404
YFL009W	YIL046W	CDC4	MET30	Dosage Lethality	Patton EE et al	9499404
YDL132W	YIL046W	CDC53	MET30	Dosage Lethality	Patton EE et al	9499404
YBR088C	YNL218W	POL30	MGS1	Dosage Lethality	Branzei D et al	12436259
YDR477W	YER028C	SNF1	MIG3	Dosage Lethality	Dubacq C et al	14993292
YJL005W	YNL076W	CYR1	MKS1	Dosage Lethality	Matsuura A et al	8386801
YKL022C	YDL028C	CDC16	MPS1	Dosage Lethality	Rudner AD et al	10871279
YBL084C	YDL028C	CDC27	MPS1	Dosage Lethality	Rudner AD et al	10871279
YBR160W	YDL028C	CDC28	MPS1	Dosage Lethality	Rudner AD et al	10871278
YBR135W	YDL028C	CKS1	MPS1	Dosage Lethality	Rudner AD et al	10871278
YPR119W	YDL028C	CLB2	MPS1	Dosage Lethality	Rudner AD et al	10871278
YNL272C	YNL293W	SEC2	MSB3	Dosage Lethality	Gao XD et al	12913108
YNL272C	YOL112W	SEC2	MSB4	Dosage Lethality	Gao XD et al	12913108
YKL114C	YKR030W	APN1	GMH1	Dosage Lethality	Branzei D et al	12436259
YDL220C	YKR030W	CDC13	GMH1	Dosage Lethality	Branzei D et al	12436259
YBR136W	YKR030W	MEC1	GMH1	Dosage Lethality	Branzei D et al	12436259
YJR006W	YKR030W	HYS2	GMH1	Dosage Lethality	Branzei D et al	12436259
YJR043C	YKR030W	POL32	GMH1	Dosage Lethality	Branzei D et al	12436259
YMR201C	YKR030W	RAD14	GMH1	Dosage Lethality	Branzei D et al	12436259
YOR368W	YKR030W	RAD17	GMH1	Dosage Lethality	Branzei D et al	12436259
YER095W	YKR030W	RAD51	GMH1	Dosage Lethality	Branzei D et al	12436259
YPL153C	YKR030W	RAD53	GMH1	Dosage Lethality	Branzei D et al	12436259
YDR217C	YKR030W	RAD9	GMH1	Dosage Lethality	Branzei D et al	12436259
YAR007C	YKR030W	RFA1	GMH1	Dosage Lethality	Branzei D et al	12436259
YBR087W	YKR030W	RFC5	GMH1	Dosage Lethality	Branzei D et al	12436259
YPL203W	YMR037C	TPK2	MSN2	Dosage Lethality	Smith A et al	9649426
YER009W	YFR002W	NTF2	NIC96	Dosage Lethality	Ryan KJ et al	12654904
YMR235C	YFR002W	RNA1	NIC96	Dosage Lethality	Ryan KJ et al	12654904
YDL160C	YCR093W	DHH1	CDC39	Dosage Lethality	Maillet L et al	11696541
YER009W	YBL079W	NTF2	NUP170	Dosage Lethality	Ryan KJ et al	12654904
YMR235C	YBL079W	RNA1	NUP170	Dosage Lethality	Ryan KJ et al	12654904
YFR028C	YHR118C	CDC14	ORC6	Dosage Lethality	Kroll ES et al	8722765
YKL022C	YHR118C	CDC16	ORC6	Dosage Lethality	Kroll ES et al	8722765
YDL102W	YHR118C	CDC2	ORC6	Dosage Lethality	Kroll ES et al	8722765
YLR274W	YHR118C	CDC46	ORC6	Dosage Lethality	Kroll ES et al	8722765
YJL194W	YHR118C	CDC6	ORC6	Dosage Lethality	Kroll ES et al	8722765
YGL173C	YHR073W	KEM1	OSH3	Dosage Lethality	Park YU et al	12054531
YML085C	YER007W	TUB1	PAC2	Dosage Lethality	Vega LR et al	9725898
YNL039W	YGR047C	BDP1	TFC4	Dosage Lethality	Ishiguro A et al	11971960
YDL003W	YDR113C	MCD1	PDS1	Dosage Lethality	Heo SJ et al	10654086
YBR080C	YOR036W	SEC18	PEP12	Dosage Lethality	Burd CG et al	9201718
Q0275	YER153C	COX3	PET122	Dosage Lethality	Folley LS et al	1661254
Q0275	YNR045W	COX3	PET494	Dosage Lethality	Folley LS et al	1661254
YNL271C	YOR122C	BNI1	PFY1	Dosage Lethality	Imamura H et al	9184220
YJR092W	YKL043W	BUD4	PHD1	Dosage Lethality	Gimeno CJ et al	8114741
YNL243W	YGL008C	SLA2	PMA1	Dosage Lethality	Na S et al	7896828
YNL222W	YAL043C	SSU72	PTA1	Dosage Lethality	He X et al	12704082
YJL129C	YKL198C	TRK1	PTK1	Dosage Lethality	Erez O et al	12135613
YKR050W	YKL198C	TRK2	PTK1	Dosage Lethality	Erez O et al	12135613
YJL129C	YJR059W	TRK1	PTK2	Dosage Lethality	Erez O et al	12135613
YKR050W	YJR059W	TRK2	PTK2	Dosage Lethality	Erez O et al	12135613
YOR267C	YJR059W	HRK1	PTK2	Dosage Lethality	Goossens A et al	11003661
YFL029C	YOR208W	CAK1	PTP2	Dosage Lethality	Cheng A et al	10580002
YFL029C	YER075C	CAK1	PTP3	Dosage Lethality	Cheng A et al	10580002
YAR019C	YER173W	CDC15	RAD24	Dosage Lethality	Lydall D et al	9435789
YNL102W	YER173W	POL1	RAD24	Dosage Lethality	Lydall D et al	9435789
YDL102W	YER173W	CDC2	RAD24	Dosage Lethality	Lydall D et al	9435789
YFL009W	YER173W	CDC4	RAD24	Dosage Lethality	Lydall D et al	9435789
YOR217W	YER173W	RFC1	RAD24	Dosage Lethality	Lydall D et al	9435789
YJL194W	YER173W	CDC6	RAD24	Dosage Lethality	Lydall D et al	9435789
YDL164C	YER173W	CDC9	RAD24	Dosage Lethality	Lydall D et al	9435789
YDR097C	YDR419W	MSH6	RAD30	Dosage Lethality	Pavlov YI et al	11406177
YNL082W	YDR419W	PMS1	RAD30	Dosage Lethality	Pavlov YI et al	11406177
YDL101C	YLR032W	DUN1	RAD5	Dosage Lethality	Hammet A et al	11953437
YBR136W	YNL216W	MEC1	RAP1	Dosage Lethality	Izbicka E et al	11497275
YBL088C	YNL216W	TEL1	RAP1	Dosage Lethality	Izbicka E et al	11497275
YBR140C	YOR101W	IRA1	RAS1	Dosage Lethality	Tanaka K et al	2178777
YOL081W	YOR101W	IRA2	RAS1	Dosage Lethality	Tanaka K et al	2178777
YDL108W	YNL098C	KIN28	RAS2	Dosage Lethality	Howard SC et al	12032176
YDL140C	YNL098C	RPO21	RAS2	Dosage Lethality	Howard SC et al	12032176
YNL236W	YNL098C	SIN4	RAS2	Dosage Lethality	Howard SC et al	12032176
YER022W	YNL098C	SRB4	RAS2	Dosage Lethality	Howard SC et al	12032176
YGL240W	YNL098C	DOC1	RAS2	Dosage Lethality	Irniger S et al	10747049
YBR140C	YNL098C	IRA1	RAS2	Dosage Lethality	Tanaka K et al	2178777
YOL081W	YNL098C	IRA2	RAS2	Dosage Lethality	Tanaka K et al	2178777
YOR349W	YOR265W	CIN1	RBL2	Dosage Lethality	Fleming JA et al	10978276
YER007W	YOR265W	PAC2	RBL2	Dosage Lethality	Fleming JA et al	10978276
YML085C	YOR265W	TUB1	RBL2	Dosage Lethality	Fleming JA et al	10978276
YBR136W	YGL158W	MEC1	RCK1	Dosage Lethality	Ramne A et al	10778743
YER173W	YGL158W	RAD24	RCK1	Dosage Lethality	Ramne A et al	10778743
YBR136W	YLR248W	MEC1	RCK2	Dosage Lethality	Ramne A et al	10778743
YER173W	YLR248W	RAD24	RCK2	Dosage Lethality	Ramne A et al	10778743
YOR351C	YLR263W	MEK1	RED1	Dosage Lethality	Hollingsworth NM et al	9286666
YLR229C	YIL118W	CDC42	RHO3	Dosage Lethality	Matsui Y et al	1448099
YJL005W	YFL033C	CYR1	RIM15	Dosage Lethality	Reinders A et al	9744870
YLR380W	YGL171W	CSR1	ROK1	Dosage Lethality	Kim WI et al	10705369
YJR017C	YER125W	ESS1	RSP5	Dosage Lethality	Wu X et al	11795843
YMR275C	YER125W	BUL1	RSP5	Dosage Lethality	Yashiroda H et al	8668140
YHR030C	YDR388W	SLT2	RVS167	Dosage Lethality	Breton AM et al	11481676
YGL207W	YDR143C	SPT16	SAN1	Dosage Lethality	Evans DR et al	9832518
YGL207W	YDR143C	SPT16	SAN1	Dosage Lethality	Xu Q et al	8246972
YFR040W	YJL098W	SAP155	SAP185	Dosage Lethality	Jablonowski D et al	11779790
YFR040W	YKR028W	SAP155	SAP190	Dosage Lethality	Jablonowski D et al	11779790
YGR184C	YDL003W	UBR1	MCD1	Dosage Lethality	Rao H et al	11309624
YDR164C	YLR166C	SEC1	SEC10	Dosage Lethality	Roth D et al	9658167
YGL233W	YLR166C	SEC15	SEC10	Dosage Lethality	Roth D et al	9658167
YER008C	YLR166C	SEC3	SEC10	Dosage Lethality	Roth D et al	9658167
YFL005W	YLR166C	SEC4	SEC10	Dosage Lethality	Roth D et al	9658167
YDR166C	YLR166C	SEC5	SEC10	Dosage Lethality	Roth D et al	9658167
YIL068C	YLR166C	SEC6	SEC10	Dosage Lethality	Roth D et al	9658167
YPR055W	YLR166C	SEC8	SEC10	Dosage Lethality	Roth D et al	9658167
YPL085W	YDL195W	SEC16	SEC31	Dosage Lethality	Salama NR et al	9190202
YPR181C	YDL195W	SEC23	SEC31	Dosage Lethality	Salama NR et al	9190202
YER031C	YDR170C	YPT31	SEC7	Dosage Lethality	Jones S et al	10430582
YPR181C	YCR067C	SEC23	SED4	Dosage Lethality	Saito-Nakano Y et al	11168590
YDR468C	YLR026C	TLG1	SED5	Dosage Lethality	Coe JG et al	10397773
YLR150W	YMR190C	STM1	SGS1	Dosage Lethality	Hayashi N et al	12207228
YJL092W	YMR190C	HPR5	SGS1	Dosage Lethality	Mankouri HW et al	11861900
YMR109W	YOR035C	MYO5	SHE4	Dosage Lethality	Toi H et al	12808026
YPL094C	YDL212W	SEC62	SHR3	Dosage Lethality	Gilstring CF et al	10564255
YFR052W	YLR079W	RPN12	SIC1	Dosage Lethality	Bailly E et al	10490625
YOR057W	YLR079W	SGT1	SIC1	Dosage Lethality	Kitagawa K et al	10445024
YOL133W	YLR079W	HRT1	SIC1	Dosage Lethality	Seol JH et al	10385629
YOL133W	YLR079W	HRT1	SIC1	Dosage Lethality	Kamura T et al	10213691
YBR009C	YDL042C	HHF1	SIR2	Dosage Lethality	Holmes SG et al	9055071
YBR009C	YLR442C	HHF1	SIR3	Dosage Lethality	Holmes SG et al	9055071
YLR229C	YHR206W	CDC42	SKN7	Dosage Lethality	Bouquin N et al	10512874
YJL129C	YMR216C	TRK1	SKY1	Dosage Lethality	Erez O et al	12135613
YKR050W	YMR216C	TRK2	SKY1	Dosage Lethality	Erez O et al	12135613
YJR059W	YMR216C	PTK2	SKY1	Dosage Lethality	Erez O et al	11113192
YPL124W	YDR356W	SPC29	SPC110	Dosage Lethality	Elliott S et al	10339566
YDR356W	YPL124W	SPC110	SPC29	Dosage Lethality	Elliott S et al	10339566
YPL124W	YKL042W	SPC29	SPC42	Dosage Lethality	Elliott S et al	10339566
YDR356W	YHR172W	SPC110	SPC97	Dosage Lethality	Nguyen T et al	9693376
YJL034W	YKL073W	KAR2	LHS1	Dosage Lethality	Baxter BK et al	8887673
YOR208W	YLR006C	PTP2	SSK1	Dosage Lethality	Sato N et al	12944490
YMR022W	YLR006C	QRI8	SSK1	Dosage Lethality	Sato N et al	12944490
YDR162C	YNR031C	NBP2	SSK2	Dosage Lethality	Mapes J et al	14685261
YDL006W	YNR031C	PTC1	SSK2	Dosage Lethality	Mapes J et al	14685261
YDL220C	YDR082W	CDC13	STN1	Dosage Lethality	Grandin N et al	11046137
YPL153C	YER111C	RAD53	SWI4	Dosage Lethality	Sidorova JM et al	11805050
YPL031C	YDR146C	PHO85	SWI5	Dosage Lethality	Measday V et al	10692159
YNL075W	YBR118W	IMP4	TEF2	Dosage Lethality	Astrom SU et al	10485288
YMR283C	YBR118W	RIT1	TEF2	Dosage Lethality	Astrom SU et al	10485288
YER095W	YBL088C	RAD51	TEL1	Dosage Lethality	Viscardi V et al	12925751
YPL153C	YBL088C	RAD53	TEL1	Dosage Lethality	Viscardi V et al	12925751
YGL240W	YJL164C	DOC1	TPK1	Dosage Lethality	Bolte M et al	12724382
YGL240W	YPL203W	DOC1	TPK2	Dosage Lethality	Bolte M et al	12724382
YBL084C	YPL203W	CDC27	TPK2	Dosage Lethality	Bolte M et al	12724382
YGL240W	YKL166C	DOC1	TPK3	Dosage Lethality	Bolte M et al	12724382
YBL084C	YKL166C	CDC27	TPK3	Dosage Lethality	Bolte M et al	12724382
YLR200W	YLR212C	YKE2	TUB4	Dosage Lethality	Geissler S et al	9463374
YJR045C	YOR232W	SSC1	MGE1	Dosage Lethality	Nakai M et al	8166717
YDR335W	YGL003C	MSN5	CDH1	Dosage Lethality	Jaquenoud M et al	12456658
YER068W	YGR274C	MOT2	TAF1	Dosage Lethality	Deluen C et al	12215531
YPR072W	YGR274C	NOT5	TAF1	Dosage Lethality	Deluen C et al	12215531
YBR136W	YLR176C	MEC1	RFX1	Dosage Lethality	Huang M et al	9741624
YNL102W	YLR176C	POL1	RFX1	Dosage Lethality	Huang M et al	9741624
YPL153C	YLR176C	RAD53	RFX1	Dosage Lethality	Huang M et al	9741624
YER070W	YLR176C	RNR1	RFX1	Dosage Lethality	Huang M et al	9741624
YJL026W	YLR176C	RNR2	RFX1	Dosage Lethality	Huang M et al	9741624
YDL185W	YER005W	TFP1	YND1	Dosage Lethality	Zhong X et al	10954728
YOR070C	YFL038C	GYP1	YPT1	Dosage Lethality	Du LL et al	11359917
YJR031C	YER031C	GEA1	YPT31	Dosage Lethality	Jones S et al	10430582
YJR031C	YGL210W	GEA1	YPT32	Dosage Lethality	Jones S et al	10430582
YFL038C	YLR262C	YPT1	YPT6	Dosage Lethality	Li B et al	9717237
YOR070C	YML001W	GYP1	YPT7	Dosage Lethality	Du LL et al	11359917
YKL057C	YIL063C	NUP120	YRB2	Dosage Lethality	Moy TI et al	12082158
YLL050C	YCR088W	COF1	ABP1	Dosage Rescue	Moon AL et al	8421056
YIL036W	YER045C	CST6	ACA1	Dosage Rescue	Garcia-Gimeno MA et al	10825197
YER109C	YLR131C	FLO8	ACE2	Dosage Rescue	King L et al	9745020
YLR337C	YFL039C	VRP1	ACT1	Dosage Rescue	Zoladek T et al	8524255
YLL050C	YMR092C	COF1	AIP1	Dosage Rescue	Iida K et al	10231390
YNL241C	YPL061W	ZWF1	ALD6	Dosage Rescue	Grabowska D et al	12584194
YOR334W	YOL130W	MRS2	ALR1	Dosage Rescue	Gregan J et al	11544180
YML077W	YEL036C	BET5	ANP1	Dosage Rescue	Jiang Y et al	9611195
YGL134W	YGL180W	PCL10	ATG1	Dosage Rescue	Wang Z et al	11486014
YPL219W	YGL180W	PCL8	ATG1	Dosage Rescue	Wang Z et al	11486014
YDR477W	YGL180W	SNF1	ATG1	Dosage Rescue	Wang Z et al	11486014
YPR185W	YGL180W	ATG13	ATG1	Dosage Rescue	Funakoshi T et al	9224892
YGL134W	YPR185W	PCL10	ATG13	Dosage Rescue	Wang Z et al	11486014
YPL219W	YPR185W	PCL8	ATG13	Dosage Rescue	Wang Z et al	11486014
YDR477W	YPR185W	SNF1	ATG13	Dosage Rescue	Wang Z et al	11486014
YDL192W	YDL137W	ARF1	ARF2	Dosage Rescue	Chantalat S et al	12808035
YJR031C	YDL137W	GEA1	ARF2	Dosage Rescue	Chantalat S et al	12808035
YGR252W	YJL088W	GCN5	ARG3	Dosage Rescue	Pollard KJ et al	10523306
YNL297C	YBR164C	MON2	ARL1	Dosage Rescue	Jochum A et al	12052896
YLR039C	YBR164C	RIC1	ARL1	Dosage Rescue	Bensen ES et al	11160819
YLR262C	YBR164C	YPT6	ARL1	Dosage Rescue	Bensen ES et al	11160819
YMR033W	YPR034W	ARP9	ARP7	Dosage Rescue	Szerlong H et al	12805231
YPR034W	YMR033W	ARP7	ARP9	Dosage Rescue	Szerlong H et al	12805231
YHR206W	YGR097W	SKN7	ASK10	Dosage Rescue	Page N et al	8904339
YGL008C	YBL069W	PMA1	AST1	Dosage Rescue	Chang A et al	7822420
YEL009C	YML116W	GCN4	ATR1	Dosage Rescue	Kanazawa S et al	3280970
YJR104C	YOR079C	SOD1	ATX2	Dosage Rescue	Lin SJ et al	8887660
YIL004C	YBL078C	BET1	ATG8	Dosage Rescue	Legesse-Miller A et al	10837468
YLR268W	YBL078C	SEC22	ATG8	Dosage Rescue	Legesse-Miller A et al	10837468
YCR002C	YIL140W	CDC10	AXL2	Dosage Rescue	Roemer T et al	8846915
YLL021W	YIL140W	SPA2	AXL2	Dosage Rescue	Roemer T et al	8846915
YPR165W	YOR134W	RHO1	BAG7	Dosage Rescue	Schmidt A et al	12207708
YDR389W	YOR134W	SAC7	BAG7	Dosage Rescue	Schmidt A et al	12207708
YLR027C	YDR463W	AAT2	STP1	Dosage Rescue	Schreve J et al	9153753
YCL064C	YDR463W	CHA1	STP1	Dosage Rescue	Grauslund M et al	7495881
YER086W	YDR463W	ILV1	STP1	Dosage Rescue	Grauslund M et al	7495881
YJL129C	YBR068C	TRK1	BAP2	Dosage Rescue	Wright MB et al	9153214
YKR050W	YBR068C	TRK2	BAP2	Dosage Rescue	Wright MB et al	9153214
YPL124W	YPL255W	SPC29	BBP1	Dosage Rescue	Schramm C et al	10654940
YPL084W	YJL095W	BRO1	BCK1	Dosage Rescue	Nickas ME et al	8649366
YKR072C	YER167W	SIS2	BCK2	Dosage Rescue	Munoz I et al	12518319
YDL047W	YER167W	SIT4	BCK2	Dosage Rescue	Munoz I et al	12518319
YCR017C	YER167W	CWH43	BCK2	Dosage Rescue	Martin-Yken H et al	12185498
YCR017C	YER167W	CWH43	BCK2	Dosage Rescue	Martin-Yken H et al	11427965
YDR208W	YDR361C	MSS4	BCP1	Dosage Rescue	Audhya A et al	12912920
YDR457W	YIL033C	TOM1	BCY1	Dosage Rescue	Sasaki T et al	10660055
